shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
14S-69-01-E,45.531615,-73.718865,1
14S-365-01-N,45.527758,-73.719433,69
14S-180-JO-O,45.527758,-73.719433,31
14S-468-01-E,45.530525,-73.717956,64
14S-68-SO-E,45.530525,-73.717956,68
14S-68-AC-E,45.530525,-73.717956,94
14S-68-AB-E,45.530525,-73.717956,85
14S-64-01-S,45.530525,-73.717956,4
14S-69-01-O,45.533442,-73.717611,76
14S-365-01-N,45.526623,-73.716596,68
14S-180-JO-O,45.526623,-73.716596,30
14S-117-01-N,45.535483,-73.714612,27
14S-69-01-O,45.535511,-73.715087,74
14S-365-01-N,45.527829,-73.712795,65
14S-180-JO-O,45.527829,-73.712795,27
14S-365-01-S,45.527487,-73.712907,4
14S-180-JO-E,45.527487,-73.712907,4
14S-69-01-O,45.538529,-73.710534,71
14S-382-01-O,45.525648,-73.70966,33
14S-64-01-N,45.525648,-73.70966,15
14S-170-AC-S,45.525466,-73.709929,28
14S-164-01-E,45.525466,-73.709929,28
14S-164-01-O,45.525415,-73.710273,28
14S-382-01-O,45.524575,-73.707951,32
14S-64-01-N,45.524575,-73.707951,14
14S-382-01-E,45.524674,-73.708443,87
14S-170-AC-S,45.524674,-73.708443,29
14S-64-01-S,45.524674,-73.708443,9
14S-69-01-O,45.54173,-73.706446,69
14S-164-01-E,45.524845,-73.70604,31
14S-365-01-S,45.533851,-73.704885,8
14S-180-JO-E,45.533851,-73.704885,8
14S-164-01-O,45.527629,-73.702028,23
14S-363-01-S,45.541113,-73.64181,18
14S-55-JO-S,45.541113,-73.64181,7
14S-361-01-S,45.547006,-73.642584,14
14S-146-SW-E,45.547006,-73.642584,17
14S-146-JO-E,45.547006,-73.642584,17
14S-53-01-S,45.547006,-73.642584,18
14S-31-01-S,45.547006,-73.642584,15
14S-102-01-E,45.459587,-73.644565,6
14S-160-01-O,45.494521,-73.642956,38
14S-54-01-O,45.574589,-73.640485,2
14S-51-JO-O,45.467632,-73.643304,53
14S-160-01-E,45.493821,-73.642001,6
14S-365-01-N,45.528626,-73.640759,42
14S-179-01-N,45.528626,-73.640759,17
14S-370-01-E,45.489205,-73.642337,21
14S-161-01-E,45.489205,-73.642337,19
14S-54-01-O,45.570616,-73.6401,5
14S-146-SW-E,45.550333,-73.640255,21
14S-146-JO-E,45.550333,-73.640255,21
14S-56-01-S,45.550333,-73.640255,18
14S-162-01-O,45.454064,-73.642352,19
14S-166-PM-N,45.485551,-73.641148,33
14S-166-L2-N,45.485551,-73.641148,46
14S-166-JO-N,45.485551,-73.641148,30
14S-129-SO-N,45.485551,-73.641148,53
14S-129-S2-S,45.485551,-73.641148,3
14S-129-S2-N,45.485551,-73.641148,58
14S-129-JO-S,45.485551,-73.641148,3
14S-102-01-E,45.463165,-73.641814,8
14S-467-JO-N,45.576832,-73.638244,14
14S-357-01-N,45.576832,-73.638244,42
14S-67-JO-N,45.576832,-73.638244,33
14S-368-01-O,45.495667,-73.640343,67
14S-124-01-N,45.495667,-73.640343,28
14S-160-01-E,45.495468,-73.640563,7
14S-370-01-O,45.491437,-73.640444,73
14S-161-01-O,45.491437,-73.640444,30
14S-52-PM-O,45.538982,-73.638643,5
14S-160-01-O,45.49824,-73.639647,36
14S-356-SO-O,45.454686,-73.640706,86
14S-51-JO-O,45.471917,-73.640029,51
14S-51-JO-O,45.456595,-73.640478,61
14S-361-01-S,45.545528,-73.639308,15
14S-31-01-S,45.545528,-73.639308,16
14S-135-AM-S,45.545613,-73.638237,27
14S-100-JO-E,45.545613,-73.638237,51
14S-54-HE-E,45.545613,-73.638237,13
14S-54-01-E,45.545613,-73.638237,33
14S-19-01-E,45.545613,-73.638237,15
14S-66-PM-N,45.476767,-73.638983,31
14S-66-JO-N,45.476767,-73.638983,28
14S-179-01-S,45.527906,-73.637575,23
14S-363-01-S,45.540666,-73.637724,21
14S-55-JO-S,45.540666,-73.637724,10
14S-354-01-E,45.450515,-73.780428,46
14S-435-JO-O,45.503661,-73.638053,66
14S-369-01-N,45.503661,-73.638053,31
14S-165-JO-N,45.503661,-73.638053,25
14S-160-01-E,45.497529,-73.638728,8
14S-51-JO-O,45.47391,-73.639111,50
14S-356-SO-O,45.454209,-73.639412,87
14S-123-01-S,45.454209,-73.639412,2
14S-160-01-O,45.500221,-73.637852,35
14S-179-01-S,45.529077,-73.636906,24
14S-357-01-N,45.575493,-73.635016,41
14S-67-JO-N,45.575493,-73.635016,32
14S-52-PM-O,45.542579,-73.636557,3
14S-52-AM-O,45.542579,-73.636557,3
14S-368-01-O,45.494345,-73.637435,66
14S-124-01-N,45.494345,-73.637435,27
14S-370-01-E,45.494197,-73.637623,25
14S-161-01-E,45.494197,-73.637623,23
14S-372-SO-O,45.508353,-73.637318,104
14S-92-JO-O,45.508353,-73.637318,20
14S-51-JO-O,45.475209,-73.637943,49
14S-435-JO-E,45.530291,-73.636097,71
14S-179-01-N,45.530291,-73.636097,12
14S-80-01-N,45.530291,-73.636097,27
14S-179-01-S,45.530711,-73.635962,25
14S-193-01-O,45.531528,-73.635705,52
14S-90-01-O,45.453476,-73.637257,34
14S-90-01-E,45.453213,-73.637535,33
14S-54-01-O,45.554581,-73.635119,16
14S-30-01-N,45.548929,-73.634147,47
14S-30-01-S,45.548788,-73.634266,16
14S-435-JO-E,45.50243,-73.635982,9
14S-369-01-S,45.50243,-73.635982,8
14S-165-JO-S,45.50243,-73.635982,9
14S-363-01-S,45.539774,-73.634726,22
14S-55-JO-S,45.539774,-73.634726,11
14S-359-01-S,45.559646,-73.633959,13
14S-54-01-O,45.559646,-73.633959,13
14S-45-LL-S,45.559646,-73.633959,15
14S-45-01-S,45.559646,-73.633959,12
14S-54-HE-E,45.559358,-73.633789,24
14S-54-01-E,45.559358,-73.633789,44
14S-102-01-O,45.470608,-73.635717,19
14S-160-01-E,45.505751,-73.634224,13
14S-138-01-E,45.466723,-73.635462,18
14S-104-01-E,45.466723,-73.635462,18
14S-193-01-E,45.535752,-73.632988,8
14S-356-SO-O,45.460741,-73.634944,80
14S-105-01-O,45.460741,-73.634944,15
14S-370-01-O,45.498494,-73.63402,69
14S-161-01-O,45.498494,-73.63402,26
14S-435-JO-E,45.501794,-73.634467,10
14S-369-01-S,45.501794,-73.634467,9
14S-165-JO-S,45.501794,-73.634467,10
14S-30-01-N,45.548333,-73.632167,45
14S-103-JO-O,45.471744,-73.634349,12
14S-103-AC-O,45.471744,-73.634349,12
14S-102-01-O,45.471914,-73.63454,18
14S-102-01-E,45.471526,-73.634626,14
14S-90-01-O,45.454415,-73.634156,33
14S-368-01-O,45.492336,-73.632869,64
14S-124-01-N,45.492336,-73.632869,25
14S-160-01-E,45.507316,-73.632779,14
14S-467-JO-S,45.572947,-73.630659,6
14S-357-01-S,45.572947,-73.630659,10
14S-67-JO-S,45.572947,-73.630659,11
14S-41-01-E,45.572947,-73.630659,23
14S-363-01-S,45.538883,-73.631597,23
14S-55-JO-S,45.538883,-73.631597,12
14S-365-01-S,45.525758,-73.631819,31
14S-435-JO-E,45.500896,-73.632368,11
14S-369-01-S,45.500896,-73.632368,10
14S-165-JO-S,45.500896,-73.632368,11
14S-102-01-E,45.473718,-73.632854,15
14S-356-SO-E,45.461561,-73.632889,88
14S-105-01-E,45.461561,-73.632889,7
14S-371-01-S,45.484945,-73.632709,49
14S-17-01-S,45.484945,-73.632709,28
14S-193-01-O,45.540835,-73.630325,47
14S-129-SO-S,45.494261,-73.631372,9
14S-129-S2-S,45.494261,-73.631372,10
14S-129-JO-S,45.494261,-73.631372,10
14S-103-JO-O,45.470557,-73.631593,11
14S-103-AC-O,45.470557,-73.631593,11
14S-102-01-O,45.475593,-73.631412,15
14S-160-01-E,45.510079,-73.630151,15
14S-368-01-E,45.491343,-73.631055,37
14S-124-01-S,45.491343,-73.631055,31
14S-370-01-O,45.502962,-73.6305,67
14S-161-01-O,45.502962,-73.6305,24
14S-54-HE-E,45.551232,-73.629842,19
