stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding
2700374,56521,Beurling / Brown,45.448749,-73.583403,http://m.stm.info/fr/horaires/arrets/56521/bus,1
2700384,56523,Beurling / Moffat,45.450467,-73.582866,http://m.stm.info/fr/horaires/arrets/56523/bus,1
2700392,56524,LaSalle / Crawford,45.438136,-73.582457,http://m.stm.info/fr/horaires/arrets/56524/bus,1
2700393,56525,Crawford / LaSalle,45.437996,-73.582753,http://m.stm.info/fr/horaires/arrets/56525/bus,1
2700402,56527,Champlain / Woodland,45.453060,-73.582099,http://m.stm.info/fr/horaires/arrets/56527/bus,0
2700424,56531,Champlain / Desmarchais,45.454777,-73.580697,http://m.stm.info/fr/horaires/arrets/56531/bus,0
2700444,56533,Champlain / 5e Avenue,45.456143,-73.579869,http://m.stm.info/fr/horaires/arrets/56533/bus,1
2700462,56535,LaSalle / Bannantyne,45.443655,-73.577076,http://m.stm.info/fr/horaires/arrets/56535/bus,1
2700514,56541,Bannantyne / Brault,45.448037,-73.576949,http://m.stm.info/fr/horaires/arrets/56541/bus,1
2700544,56546,Bannantyne / Woodland,45.452541,-73.576511,http://m.stm.info/fr/horaires/arrets/56546/bus,1
2700562,56550,Bannantyne / 4e Avenue,45.457137,-73.576302,http://m.stm.info/fr/horaires/arrets/56550/bus,1
2700592,56555,Bannantyne / Rielle,45.460584,-73.576018,http://m.stm.info/fr/horaires/arrets/56555/bus,1
2700594,56556,Bannantyne / Rielle,45.460384,-73.575813,http://m.stm.info/fr/horaires/arrets/56556/bus,1
2700604,56559,Bannantyne / Galt,45.462130,-73.575651,http://m.stm.info/fr/horaires/arrets/56559/bus,1
2700611,56560,de l'Église / Bannantyne,45.463226,-73.575534,http://m.stm.info/fr/horaires/arrets/56560/bus,0
2700622,56563,Bannantyne / Hickson,45.465385,-73.575560,http://m.stm.info/fr/horaires/arrets/56563/bus,1
2700643,56567,Galt / Claude,45.462105,-73.573610,http://m.stm.info/fr/horaires/arrets/56567/bus,1
2700712,56574,Joseph / Régina,45.467458,-73.572140,http://m.stm.info/fr/horaires/arrets/56574/bus,1
2700722,56576,de Verdun / Beatty,45.450845,-73.572575,http://m.stm.info/fr/horaires/arrets/56576/bus,1
2700746,56581,Woodland / de Verdun,45.452609,-73.572727,http://m.stm.info/fr/horaires/arrets/56581/bus,1
2700764,56584,de Verdun / 5e Avenue,45.456180,-73.571858,http://m.stm.info/fr/horaires/arrets/56584/bus,1
2700782,56586,de Verdun / 2e Avenue,45.458102,-73.571876,http://m.stm.info/fr/horaires/arrets/56586/bus,1
2700792,56588,de Verdun / Galt,45.4622,-73.571533,http://m.stm.info/fr/horaires/arrets/56588/bus,1
2700793,56589,Galt / de Verdun,45.462018,-73.571577,http://m.stm.info/fr/horaires/arrets/56589/bus,1
2700812,56594,de Verdun / Hickson,45.465207,-73.571211,http://m.stm.info/fr/horaires/arrets/56594/bus,1
2700822,56596,de Verdun / Régina,45.467416,-73.571057,http://m.stm.info/fr/horaires/arrets/56596/bus,0
2700841,56601,Caisse / de Verdun,45.470519,-73.570328,http://m.stm.info/fr/horaires/arrets/56601/bus,0
2700874,56607,LaSalle / Gibbons,45.474497,-73.570029,http://m.stm.info/fr/horaires/arrets/56607/bus,0
2700902,56609,LaSalle / Richard,45.448371,-73.569910,http://m.stm.info/fr/horaires/arrets/56609/bus,1
2700911,56611,de l'Église / Gertrude,45.462870,-73.569190,http://m.stm.info/fr/horaires/arrets/56611/bus,1
2700921,56612,Caisse / LaSalle,45.470453,-73.568132,http://m.stm.info/fr/horaires/arrets/56612/bus,1
2700952,56613,Wellington / Woodland,45.452460,-73.568019,http://m.stm.info/fr/horaires/arrets/56613/bus,1
2700956,56615,Woodland / Wellington,45.452340,-73.568260,http://m.stm.info/fr/horaires/arrets/56615/bus,0
2700974,56619,Wellington / Desmarchais,45.454385,-73.567720,http://m.stm.info/fr/horaires/arrets/56619/bus,1
2701024,56627,Wellington / 1re Avenue,45.458313,-73.567402,http://m.stm.info/fr/horaires/arrets/56627/bus,1
2701055,56633,LaSalle / Woodland,45.452707,-73.567324,http://m.stm.info/fr/horaires/arrets/56633/bus,1
2701074,56638,Wellington / Hickson,45.464772,-73.566749,http://m.stm.info/fr/horaires/arrets/56638/bus,1
2701115,56640,Wellington / Rhéaume,45.468025,-73.566040,http://m.stm.info/fr/horaires/arrets/56640/bus,0
2701204,56647,LaSalle / 2e Avenue,45.457366,-73.563362,http://m.stm.info/fr/horaires/arrets/56647/bus,1
2701222,56650,LaSalle / Rielle,45.460027,-73.563261,http://m.stm.info/fr/horaires/arrets/56650/bus,1
2701393,56655,de l'Ile-des-Soeurs/ Abélard,45.460360,-73.546020,http://m.stm.info/fr/horaires/arrets/56655/bus,0
2701433,56658,Île-des-Soeurs / du Golf,45.468034,-73.546601,http://m.stm.info/fr/horaires/arrets/56658/bus,0
